/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-05-01 05:10:18:408 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-05-01 05:10:19:385 1 sec: 48000 operations; 48000 current ops/sec; est completion in 8 minutes [INSERT: Count=48000, Max=459519, Min=251520, Avg=360328, 90=456959, 99=459519, 99.9=459519, 99.99=459519] 
2025-05-01 05:18:12:301 113 sec: 7660000 operations; 70000 current ops/sec; est completion in 3 minutes [READ: Count=42000, Max=387583, Min=158080, Avg=240626.29, 90=314879, 99=387583, 99.9=387583, 99.99=387583] [UPDATE: Count=28000, Max=33849343, Min=32735232, Avg=33295506.29, 90=33751039, 99=33849343, 99.9=33849343, 99.99=33849343] 
2025-05-01 05:18:13:301 114 sec: 7730000 operations; 70000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=293375, Min=152192, Avg=190320, 90=232447, 99=293375, 99.9=293375, 99.99=293375] [UPDATE: Count=30000, Max=34045951, Min=33210368, Avg=33577915.73, 90=33914879, 99=34045951, 99.9=34045951, 99.99=34045951] 
2025-05-01 05:18:14:301 115 sec: 7797000 operations; 67000 current ops/sec; est completion in 3 minutes [READ: Count=37000, Max=252671, Min=171264, Avg=190541.84, 90=201343, 99=252671, 99.9=252671, 99.99=252671] [UPDATE: Count=30000, Max=34209791, Min=33357824, Avg=33765512.53, 90=34078719, 99=34209791, 99.9=34209791, 99.99=34209791] 
2025-05-01 05:18:15:301 116 sec: 7868000 operations; 71000 current ops/sec; est completion in 3 minutes [READ: Count=41000, Max=339711, Min=179968, Avg=263191.41, 90=331519, 99=339711, 99.9=339711, 99.99=339711] [UPDATE: Count=30000, Max=34603007, Min=33652736, Avg=34065612.8, 90=34373631, 99=34603007, 99.9=34603007, 99.99=34603007] 
2025-05-01 05:18:16:301 117 sec: 7939000 operations; 71000 current ops/sec; est completion in 3 minutes [READ: Count=41000, Max=330751, Min=183680, Avg=231408.39, 90=311551, 99=330751, 99.9=330751, 99.99=330751] [UPDATE: Count=30000, Max=34897919, Min=33947648, Avg=34348509.87, 90=34668543, 99=34897919, 99.9=34897919, 99.99=34897919] 
2025-05-01 05:18:17:301 118 sec: 8003000 operations; 64000 current ops/sec; est completion in 3 minutes [READ: Count=38000, Max=390143, Min=178688, Avg=224606.32, 90=316671, 99=390143, 99.9=390143, 99.99=390143] [UPDATE: Count=26000, Max=35061759, Min=34144256, Avg=34577801.85, 90=34963455, 99=35061759, 99.9=35061759, 99.99=35061759] 
2025-05-01 05:18:18:301 119 sec: 8074000 operations; 71000 current ops/sec; est completion in 3 minutes [READ: Count=41000, Max=400127, Min=173696, Avg=279032.2, 90=370943, 99=400127, 99.9=400127, 99.99=400127] [UPDATE: Count=30000, Max=35422207, Min=34471936, Avg=34927411.2, 90=35258367, 99=35422207, 99.9=35422207, 99.99=35422207] 
2025-05-01 05:18:19:301 120 sec: 8145000 operations; 71000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=346111, Min=175360, Avg=232595.2, 90=321023, 99=346111, 99.9=346111, 99.99=346111] [UPDATE: Count=31000, Max=35618815, Min=34766848, Avg=35162706.58, 90=35487743, 99=35618815, 99.9=35618815, 99.99=35618815] 
2025-05-01 05:18:20:301 121 sec: 8213000 operations; 68000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=375551, Min=159104, Avg=219496, 90=267263, 99=375551, 99.9=375551, 99.99=375551] [UPDATE: Count=28000, Max=35946495, Min=34897920, Avg=35375396.57, 90=35749887, 99=35946495, 99.9=35946495, 99.99=35946495] 
2025-05-01 05:18:21:301 122 sec: 8286000 operations; 73000 current ops/sec; est completion in 3 minutes [READ: Count=42000, Max=360959, Min=166400, Avg=223603.81, 90=305919, 99=360959, 99.9=360959, 99.99=360959] [UPDATE: Count=31000, Max=36241407, Min=35258368, Avg=35667968, 90=36012031, 99=36241407, 99.9=36241407, 99.99=36241407] 
2025-05-01 05:18:22:301 123 sec: 8358000 operations; 72000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=268031, Min=160768, Avg=188852.8, 90=218111, 99=268031, 99.9=268031, 99.99=268031] [UPDATE: Count=32000, Max=36470783, Min=35520512, Avg=35910656, 90=36306943, 99=36470783, 99.9=36470783, 99.99=36470783] 
2025-05-01 05:18:23:301 124 sec: 8422000 operations; 64000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=269567, Min=174720, Avg=202464, 90=244479, 99=269567, 99.9=269567, 99.99=269567] [UPDATE: Count=24000, Max=36732927, Min=35749888, Avg=36171776, 90=36536319, 99=36732927, 99.9=36732927, 99.99=36732927] 
2025-05-01 05:18:24:301 125 sec: 8495000 operations; 73000 current ops/sec; est completion in 3 minutes [READ: Count=41000, Max=241023, Min=169728, Avg=187505.95, 90=204799, 99=241023, 99.9=241023, 99.99=241023] [UPDATE: Count=32000, Max=36995071, Min=36077568, Avg=36446208, 90=36798463, 99=36995071, 99.9=36995071, 99.99=36995071] 
2025-05-01 05:18:25:301 126 sec: 8566000 operations; 71000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=200447, Min=167808, Avg=182851.2, 90=195967, 99=200447, 99.9=200447, 99.99=200447] [UPDATE: Count=31000, Max=37224447, Min=36274176, Avg=36668977.55, 90=37060607, 99=37224447, 99.9=37224447, 99.99=37224447] 
2025-05-01 05:18:26:301 127 sec: 8634000 operations; 68000 current ops/sec; est completion in 3 minutes [READ: Count=39000, Max=307199, Min=163328, Avg=203912.21, 90=278271, 99=307199, 99.9=307199, 99.99=307199] [UPDATE: Count=29000, Max=37453823, Min=36438016, Avg=36910892.14, 90=37355519, 99=37453823, 99.9=37453823, 99.99=37453823] 
2025-05-01 05:18:27:301 128 sec: 8707000 operations; 73000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=265983, Min=159488, Avg=188577.6, 90=228607, 99=265983, 99.9=265983, 99.99=265983] [UPDATE: Count=33000, Max=37617663, Min=36667392, Avg=37130612.36, 90=37519359, 99=37617663, 99.9=37617663, 99.99=37617663] 
2025-05-01 05:18:28:301 129 sec: 8773000 operations; 66000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=297727, Min=161280, Avg=209915.2, 90=275199, 99=297727, 99.9=297727, 99.99=297727] [UPDATE: Count=26000, Max=37847039, Min=36929536, Avg=37426097.23, 90=37748735, 99=37847039, 99.9=37847039, 99.99=37847039] 
2025-05-01 05:18:29:301 130 sec: 8830000 operations; 57000 current ops/sec; est completion in 3 minutes [READ: Count=34000, Max=573951, Min=168576, Avg=280538.35, 90=369919, 99=573951, 99.9=573951, 99.99=573951] [UPDATE: Count=23000, Max=38273023, Min=37421056, Avg=37824957.22, 90=38141951, 99=38273023, 99.9=38273023, 99.99=38273023] 
2025-05-01 05:18:30:301 131 sec: 8894000 operations; 64000 current ops/sec; est completion in 3 minutes [READ: Count=38000, Max=630783, Min=157440, Avg=361871.16, 90=569855, 99=630783, 99.9=630783, 99.99=630783] [UPDATE: Count=26000, Max=38567935, Min=37814272, Avg=38194884.92, 90=38502399, 99=38567935, 99.9=38567935, 99.99=38567935] 
2025-05-01 05:18:31:301 132 sec: 8959000 operations; 65000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=679935, Min=169472, Avg=389856, 90=659967, 99=679935, 99.9=679935, 99.99=679935] [UPDATE: Count=25000, Max=38928383, Min=38076416, Avg=38544998.4, 90=38830079, 99=38928383, 99.9=38928383, 99.99=38928383] 
2025-05-01 05:18:32:301 133 sec: 9023000 operations; 64000 current ops/sec; est completion in 3 minutes [READ: Count=38000, Max=832511, Min=249216, Avg=454922.11, 90=723967, 99=832511, 99.9=832511, 99.99=832511] [UPDATE: Count=26000, Max=39354367, Min=38436864, Avg=38910739.69, 90=39223295, 99=39354367, 99.9=39354367, 99.99=39354367] 
2025-05-01 05:18:33:301 134 sec: 9085000 operations; 62000 current ops/sec; est completion in 3 minutes [READ: Count=36000, Max=843775, Min=190336, Avg=515937.78, 90=816639, 99=843775, 99.9=843775, 99.99=843775] [UPDATE: Count=26000, Max=39747583, Min=38895616, Avg=39317819.08, 90=39649279, 99=39747583, 99.9=39747583, 99.99=39747583] 
2025-05-01 05:18:34:301 135 sec: 9149000 operations; 64000 current ops/sec; est completion in 3 minutes [READ: Count=38000, Max=929791, Min=179328, Avg=578989.47, 90=873983, 99=929791, 99.9=929791, 99.99=929791] [UPDATE: Count=26000, Max=40140799, Min=39124992, Avg=39629115.08, 90=40009727, 99=40140799, 99.9=40140799, 99.99=40140799] 
2025-05-01 05:18:35:301 136 sec: 9209000 operations; 60000 current ops/sec; est completion in 3 minutes [READ: Count=36000, Max=1189887, Min=206336, Avg=659057.78, 90=1007615, 99=1189887, 99.9=1189887, 99.99=1189887] [UPDATE: Count=24000, Max=40468479, Min=39550976, Avg=40024746.67, 90=40337407, 99=40468479, 99.9=40468479, 99.99=40468479] 
2025-05-01 05:18:36:301 137 sec: 9268000 operations; 59000 current ops/sec; est completion in 3 minutes [READ: Count=35000, Max=1343487, Min=297728, Avg=776184.69, 90=1203199, 99=1343487, 99.9=1343487, 99.99=1343487] [UPDATE: Count=24000, Max=40861695, Min=39944192, Avg=40408405.33, 90=40796159, 99=40861695, 99.9=40861695, 99.99=40861695] 
2025-05-01 05:18:37:301 138 sec: 9329000 operations; 61000 current ops/sec; est completion in 3 minutes [READ: Count=35000, Max=1553407, Min=464640, Avg=890594.74, 90=1434623, 99=1553407, 99.9=1553407, 99.99=1553407] [UPDATE: Count=26000, Max=41222143, Min=40271872, Avg=40763392, 90=41091071, 99=41222143, 99.9=41222143, 99.99=41222143] 
2025-05-01 05:18:38:301 139 sec: 9391000 operations; 62000 current ops/sec; est completion in 3 minutes [READ: Count=37000, Max=1652735, Min=499200, Avg=996888.22, 90=1628159, 99=1652735, 99.9=1652735, 99.99=1652735] [UPDATE: Count=25000, Max=41779199, Min=40632320, Avg=41149399.04, 90=41582591, 99=41779199, 99.9=41779199, 99.99=41779199] 
2025-05-01 05:18:39:301 140 sec: 9455000 operations; 64000 current ops/sec; est completion in 3 minutes [READ: Count=36000, Max=1713151, Min=487680, Avg=1045966.22, 90=1642495, 99=1713151, 99.9=1713151, 99.99=1713151] [UPDATE: Count=28000, Max=42106879, Min=40894464, Avg=41450349.71, 90=42008575, 99=42106879, 99.9=42106879, 99.99=42106879] 
2025-05-01 05:18:40:301 141 sec: 9520000 operations; 65000 current ops/sec; est completion in 3 minutes [READ: Count=38000, Max=1806335, Min=516608, Avg=1156021.89, 90=1753087, 99=1806335, 99.9=1806335, 99.99=1806335] [UPDATE: Count=27000, Max=42500095, Min=41123840, Avg=41783447.7, 90=42401791, 99=42500095, 99.9=42500095, 99.99=42500095] 
2025-05-01 05:18:41:301 142 sec: 9575000 operations; 55000 current ops/sec; est completion in 3 minutes [READ: Count=33000, Max=1887231, Min=566272, Avg=1189911.27, 90=1793023, 99=1887231, 99.9=1887231, 99.99=1887231] [UPDATE: Count=22000, Max=42958847, Min=41484288, Avg=42209652.36, 90=42762239, 99=42958847, 99.9=42958847, 99.99=42958847] 
2025-05-01 05:18:42:301 143 sec: 9637000 operations; 62000 current ops/sec; est completion in 3 minutes [READ: Count=37000, Max=2030591, Min=731136, Avg=1333199.57, 90=1926143, 99=2030591, 99.9=2030591, 99.99=2030591] [UPDATE: Count=25000, Max=43319295, Min=41811968, Avg=42498129.92, 90=43188223, 99=43319295, 99.9=43319295, 99.99=43319295] 
2025-05-01 05:18:43:301 144 sec: 9699000 operations; 62000 current ops/sec; est completion in 3 minutes [READ: Count=37000, Max=2125823, Min=786944, Avg=1465634.59, 90=2052095, 99=2125823, 99.9=2125823, 99.99=2125823] [UPDATE: Count=25000, Max=43876351, Min=42172416, Avg=42977853.44, 90=43646975, 99=43876351, 99.9=43876351, 99.99=43876351] 
2025-05-01 05:18:44:301 145 sec: 9762000 operations; 63000 current ops/sec; est completion in 3 minutes [READ: Count=36000, Max=2344959, Min=899584, Avg=1559452.44, 90=2156543, 99=2344959, 99.9=2344959, 99.99=2344959] [UPDATE: Count=27000, Max=44204031, Min=42467328, Avg=43316261.93, 90=44040191, 99=44204031, 99.9=44204031, 99.99=44204031] 
2025-05-01 05:18:45:301 146 sec: 9826000 operations; 64000 current ops/sec; est completion in 3 minutes [READ: Count=36000, Max=2377727, Min=973312, Avg=1644380.44, 90=2338815, 99=2377727, 99.9=2377727, 99.99=2377727] [UPDATE: Count=28000, Max=44630015, Min=42729472, Avg=43639954.29, 90=44433407, 99=44630015, 99.9=44630015, 99.99=44630015] 
2025-05-01 05:18:46:301 147 sec: 9879000 operations; 53000 current ops/sec; est completion in 3 minutes [READ: Count=30000, Max=2734079, Min=968704, Avg=1743675.73, 90=2498559, 99=2734079, 99.9=2734079, 99.99=2734079] [UPDATE: Count=23000, Max=44990463, Min=43024384, Avg=43979642.43, 90=44761087, 99=44990463, 99.9=44990463, 99.99=44990463] 
2025-05-01 05:18:47:301 148 sec: 9940000 operations; 61000 current ops/sec; est completion in 3 minutes [READ: Count=35000, Max=2879487, Min=1174528, Avg=1926977.83, 90=2828287, 99=2879487, 99.9=2879487, 99.99=2879487] [UPDATE: Count=26000, Max=45383679, Min=43417600, Avg=44370392.62, 90=45121535, 99=45383679, 99.9=45383679, 99.99=45383679] 
2025-05-01 05:18:48:301 149 sec: 10004000 operations; 64000 current ops/sec; est completion in 3 minutes [READ: Count=39000, Max=2942975, Min=1280000, Avg=2151660.31, 90=2902015, 99=2942975, 99.9=2942975, 99.99=2942975] [UPDATE: Count=25000, Max=45645823, Min=43679744, Avg=44757811.2, 90=45481983, 99=45645823, 99.9=45645823, 99.99=45645823] 
2025-05-01 05:18:49:301 150 sec: 10074000 operations; 70000 current ops/sec; est completion in 3 minutes [READ: Count=39000, Max=2932735, Min=1288192, Avg=2105055.18, 90=2861055, 99=2932735, 99.9=2932735, 99.99=2932735] [UPDATE: Count=31000, Max=46006271, Min=44105728, Avg=45041730.06, 90=45711359, 99=46006271, 99.9=46006271, 99.99=46006271] 
2025-05-01 05:18:50:301 151 sec: 10145000 operations; 71000 current ops/sec; est completion in 3 minutes [READ: Count=42000, Max=2912255, Min=1220608, Avg=2089228.19, 90=2842623, 99=2912255, 99.9=2912255, 99.99=2912255] [UPDATE: Count=29000, Max=46202879, Min=44367872, Avg=45275771.59, 90=46071807, 99=46202879, 99.9=46202879, 99.99=46202879] 
2025-05-01 05:18:51:301 152 sec: 10217000 operations; 72000 current ops/sec; est completion in 3 minutes [READ: Count=43000, Max=2820095, Min=1296384, Avg=2076933.95, 90=2791423, 99=2820095, 99.9=2820095, 99.99=2820095] [UPDATE: Count=29000, Max=46530559, Min=44662784, Avg=45656558.34, 90=46366719, 99=46530559, 99.9=46530559, 99.99=46530559] 
2025-05-01 05:18:52:301 153 sec: 10288000 operations; 71000 current ops/sec; est completion in 3 minutes [READ: Count=42000, Max=2891775, Min=1159168, Avg=1977697.52, 90=2799615, 99=2891775, 99.9=2891775, 99.99=2891775] [UPDATE: Count=29000, Max=46858239, Min=44826624, Avg=45859945.93, 90=46759935, 99=46858239, 99.9=46858239, 99.99=46858239] 
2025-05-01 05:18:53:301 154 sec: 10362000 operations; 74000 current ops/sec; est completion in 3 minutes [READ: Count=43000, Max=2787327, Min=1074176, Avg=1920928.74, 90=2713599, 99=2787327, 99.9=2787327, 99.99=2787327] [UPDATE: Count=31000, Max=47087615, Min=45088768, Avg=46115674.84, 90=46923775, 99=47087615, 99.9=47087615, 99.99=47087615] 
2025-05-01 05:18:54:301 155 sec: 10431000 operations; 69000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=2680831, Min=1022464, Avg=1820940.8, 90=2658303, 99=2680831, 99.9=2680831, 99.99=2680831] [UPDATE: Count=29000, Max=47415295, Min=45285376, Avg=46365025.1, 90=47153151, 99=47415295, 99.9=47415295, 99.99=47415295] 
2025-05-01 05:18:55:301 156 sec: 10501000 operations; 70000 current ops/sec; est completion in 3 minutes [READ: Count=42000, Max=2772991, Min=915968, Avg=1834727.62, 90=2695167, 99=2772991, 99.9=2772991, 99.99=2772991] [UPDATE: Count=28000, Max=47710207, Min=45613056, Avg=46620672, 90=47611903, 99=47710207, 99.9=47710207, 99.99=47710207] 
2025-05-01 05:18:56:301 157 sec: 10572000 operations; 71000 current ops/sec; est completion in 3 minutes [READ: Count=42000, Max=2678783, Min=854528, Avg=1826895.24, 90=2621439, 99=2678783, 99.9=2678783, 99.99=2678783] [UPDATE: Count=29000, Max=47972351, Min=45842432, Avg=46995526.62, 90=47841279, 99=47972351, 99.9=47972351, 99.99=47972351] 
2025-05-01 05:18:57:301 158 sec: 10642000 operations; 70000 current ops/sec; est completion in 3 minutes [READ: Count=43000, Max=2586623, Min=787968, Avg=1686039.81, 90=2545663, 99=2586623, 99.9=2586623, 99.99=2586623] [UPDATE: Count=27000, Max=48136191, Min=46202880, Avg=47167108.74, 90=48037887, 99=48136191, 99.9=48136191, 99.99=48136191] 
2025-05-01 05:18:58:301 159 sec: 10714000 operations; 72000 current ops/sec; est completion in 3 minutes [READ: Count=41000, Max=2664447, Min=694272, Avg=1660622.05, 90=2611199, 99=2664447, 99.9=2664447, 99.99=2664447] [UPDATE: Count=31000, Max=48529407, Min=46497792, Avg=47533155.1, 90=48300031, 99=48529407, 99.9=48529407, 99.99=48529407] 
2025-05-01 05:18:59:301 160 sec: 10782000 operations; 68000 current ops/sec; est completion in 3 minutes [READ: Count=41000, Max=2592767, Min=686080, Avg=1671836.1, 90=2568191, 99=2592767, 99.9=2592767, 99.99=2592767] [UPDATE: Count=27000, Max=48824319, Min=46759936, Avg=47857664, 90=48660479, 99=48824319, 99.9=48824319, 99.99=48824319] 
2025-05-01 05:19:00:301 161 sec: 10850000 operations; 68000 current ops/sec; est completion in 3 minutes [READ: Count=40000, Max=2551807, Min=746496, Avg=1568633.6, 90=2527231, 99=2551807, 99.9=2551807, 99.99=2551807] [UPDATE: Count=28000, Max=49020927, Min=47153152, Avg=48020333.71, 90=48889855, 99=49020927, 99.9=49020927, 99.99=49020927] 
2025-05-01 05:19:01:301 162 sec: 10927000 operations; 77000 current ops/sec; est completion in 2 minutes [READ: Count=46000, Max=2541567, Min=608256, Avg=1580961.39, 90=2496511, 99=2541567, 99.9=2541567, 99.99=2541567] [UPDATE: Count=31000, Max=49348607, Min=47415296, Avg=48413662.97, 90=49184767, 99=49348607, 99.9=49348607, 99.99=49348607] 
2025-05-01 05:19:02:301 163 sec: 10995000 operations; 68000 current ops/sec; est completion in 2 minutes [READ: Count=40000, Max=2439167, Min=587776, Avg=1480992, 90=2387967, 99=2439167, 99.9=2439167, 99.99=2439167] [UPDATE: Count=28000, Max=49643519, Min=47677440, Avg=48704950.86, 90=49512447, 99=49643519, 99.9=49643519, 99.99=49643519] 
2025-05-01 05:19:03:301 164 sec: 11068000 operations; 73000 current ops/sec; est completion in 2 minutes [READ: Count=44000, Max=2383871, Min=456448, Avg=1374007.27, 90=2355199, 99=2383871, 99.9=2383871, 99.99=2383871] [UPDATE: Count=29000, Max=49872895, Min=47972352, Avg=48891550.9, 90=49709055, 99=49872895, 99.9=49872895, 99.99=49872895] 
2025-05-01 05:19:04:301 165 sec: 11140000 operations; 72000 current ops/sec; est completion in 2 minutes [READ: Count=44000, Max=2347007, Min=326144, Avg=1340005.82, 90=2310143, 99=2347007, 99.9=2347007, 99.99=2347007] [UPDATE: Count=28000, Max=50167807, Min=48234496, Avg=49266688, 90=50003967, 99=50167807, 99.9=50167807, 99.99=50167807] 
2025-05-01 05:19:05:301 166 sec: 11211000 operations; 71000 current ops/sec; est completion in 2 minutes [READ: Count=42000, Max=2283519, Min=171776, Avg=1260425.14, 90=2232319, 99=2283519, 99.9=2283519, 99.99=2283519] [UPDATE: Count=29000, Max=50397183, Min=48496640, Avg=49491544.28, 90=50298879, 99=50397183, 99.9=50397183, 99.99=50397183] 
2025-05-01 05:19:06:301 167 sec: 11284000 operations; 73000 current ops/sec; est completion in 2 minutes [READ: Count=45000, Max=2187263, Min=151680, Avg=1165137.07, 90=2131967, 99=2187263, 99.9=2187263, 99.99=2187263] [UPDATE: Count=28000, Max=50626559, Min=48726016, Avg=49662244.57, 90=50462719, 99=50626559, 99.9=50626559, 99.99=50626559] 
2025-05-01 05:19:07:301 168 sec: 11360000 operations; 76000 current ops/sec; est completion in 2 minutes [READ: Count=46000, Max=2103295, Min=153856, Avg=1023826.09, 90=2020351, 99=2103295, 99.9=2103295, 99.99=2103295] [UPDATE: Count=30000, Max=50724863, Min=48889856, Avg=49844497.07, 90=50659327, 99=50724863, 99.9=50724863, 99.99=50724863] 
2025-05-01 05:19:08:301 169 sec: 11437000 operations; 77000 current ops/sec; est completion in 2 minutes [READ: Count=47000, Max=1995775, Min=142336, Avg=892665.19, 90=1884159, 99=1995775, 99.9=1995775, 99.99=1995775] [UPDATE: Count=30000, Max=50790399, Min=49086464, Avg=49972292.27, 90=50757631, 99=50790399, 99.9=50790399, 99.99=50790399] 
2025-05-01 05:19:09:301 170 sec: 11511000 operations; 74000 current ops/sec; est completion in 2 minutes [READ: Count=41000, Max=1865727, Min=139520, Avg=789054.44, 90=1750015, 99=1865727, 99.9=1865727, 99.99=1865727] [UPDATE: Count=33000, Max=50987007, Min=49315840, Avg=50037232.48, 90=50823167, 99=50987007, 99.9=50987007, 99.99=50987007] 
2025-05-01 05:19:10:301 171 sec: 11588000 operations; 77000 current ops/sec; est completion in 2 minutes [READ: Count=44000, Max=1719295, Min=135424, Avg=752101.82, 90=1645567, 99=1719295, 99.9=1719295, 99.99=1719295] [UPDATE: Count=33000, Max=51085311, Min=49381376, Avg=50099789.58, 90=51052543, 99=51085311, 99.9=51085311, 99.99=51085311] 
2025-05-01 05:19:11:301 172 sec: 11666000 operations; 78000 current ops/sec; est completion in 2 minutes [READ: Count=44000, Max=1564671, Min=133888, Avg=615527.27, 90=1419263, 99=1564671, 99.9=1564671, 99.99=1564671] [UPDATE: Count=34000, Max=51052543, Min=49217536, Avg=49876751.06, 90=51019775, 99=51052543, 99.9=51052543, 99.99=51052543] 
2025-05-01 05:19:12:301 173 sec: 11739000 operations; 73000 current ops/sec; est completion in 2 minutes [READ: Count=42000, Max=1399807, Min=136320, Avg=543817.14, 90=1236991, 99=1399807, 99.9=1399807, 99.99=1399807] [UPDATE: Count=31000, Max=56721407, Min=49086464, Avg=50409339.87, 90=52723711, 99=56721407, 99.9=56721407, 99.99=56721407] 
2025-05-01 05:19:13:301 174 sec: 11821000 operations; 82000 current ops/sec; est completion in 2 minutes [READ: Count=43000, Max=1190911, Min=144384, Avg=440427.16, 90=1125375, 99=1190911, 99.9=1190911, 99.99=1190911] [UPDATE: Count=39000, Max=56852479, Min=49250304, Avg=51119340.31, 90=56786943, 99=56852479, 99.9=56852479, 99.99=56852479] 
2025-05-01 05:19:14:301 175 sec: 11891000 operations; 70000 current ops/sec; est completion in 2 minutes [READ: Count=39000, Max=1116159, Min=142976, Avg=387584, 90=1054719, 99=1116159, 99.9=1116159, 99.99=1116159] [UPDATE: Count=31000, Max=57016319, Min=49283072, Avg=50964281.81, 90=53182463, 99=57016319, 99.9=57016319, 99.99=57016319] 
2025-05-01 05:19:15:301 176 sec: 11965000 operations; 74000 current ops/sec; est completion in 2 minutes [READ: Count=41000, Max=1141759, Min=149760, Avg=460092.88, 90=1114111, 99=1141759, 99.9=1141759, 99.99=1141759] [UPDATE: Count=33000, Max=57343999, Min=49283072, Avg=51434340.85, 90=57114623, 99=57343999, 99.9=57343999, 99.99=57343999] 
2025-05-01 05:19:16:301 177 sec: 12036000 operations; 71000 current ops/sec; est completion in 2 minutes [READ: Count=41000, Max=1122303, Min=154752, Avg=423004.1, 90=1013247, 99=1122303, 99.9=1122303, 99.99=1122303] [UPDATE: Count=30000, Max=57606143, Min=49446912, Avg=51642368, 90=57376767, 99=57606143, 99.9=57606143, 99.99=57606143] 
2025-05-01 05:19:17:301 178 sec: 12106000 operations; 70000 current ops/sec; est completion in 2 minutes [READ: Count=40000, Max=980479, Min=163200, Avg=378888, 90=954367, 99=980479, 99.9=980479, 99.99=980479] [UPDATE: Count=30000, Max=57835519, Min=49610752, Avg=51793100.8, 90=54001663, 99=57835519, 99.9=57835519, 99.99=57835519] 
2025-05-01 05:19:18:301 179 sec: 12177000 operations; 71000 current ops/sec; est completion in 2 minutes [READ: Count=41000, Max=963583, Min=157824, Avg=392449.56, 90=937471, 99=963583, 99.9=963583, 99.99=963583] [UPDATE: Count=30000, Max=58064895, Min=49971200, Avg=52286805.33, 90=57868287, 99=58064895, 99.9=58064895, 99.99=58064895] 
2025-05-01 05:19:19:301 180 sec: 12252000 operations; 75000 current ops/sec; est completion in 2 minutes [READ: Count=42000, Max=930303, Min=146944, Avg=352746.67, 90=876031, 99=930303, 99.9=930303, 99.99=930303] [UPDATE: Count=33000, Max=58261503, Min=50135040, Avg=52369718.3, 90=58097663, 99=58261503, 99.9=58261503, 99.99=58261503] 
